attempt_type,case_id,validation_macro_normalized_rmse,selected_on_validation,reason,prior,likelihood,claim_class,probe_method,tone_count,power_status,nuisance_projection,nonnegative_constraint,uses_thz,uses_context,uses_true_past_pollutants,uses_test_for_selection,test_macro_normalized_rmse,validation_thz_gain_over_prior,test_thz_gain_over_prior,test_delta_vs_current_ridge,selected_roles,status
context_prior_alpha,context_prior_alpha_0.01,0.27781314867711004,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_0.1,0.2778105777421423,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_1,0.2777862538519907,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_10,0.2776248390798436,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_100,0.27734123219562107,True,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_1000,0.287972461573794,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_10000,0.316591049754056,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
context_prior_alpha,context_prior_alpha_100000,0.338833811616359,False,Context alpha candidate using training-fitted preprocessing only.,,,,,,,,,,,,,,,,,,
prior_control,training_prior_control,0.34893236181340676,,Training-period mean without THz observations.,training_prior,none,non_thz_control,none,0.0,none,False,False,False,False,False,False,0.3474788618078087,0.0,0.0,3.54176569686282e-05,,control
prior_control,context_prior_control,0.27734123219562107,,"Calendar, station, and current-weather Ridge without THz observations.",context_prior,none,non_thz_control,none,0.0,none,False,False,False,True,False,False,0.27556140520088046,0.0,0.0,-0.07188203894995959,,control
prior_control,context_prior_control__nonnegative,0.27464639993514733,,Context-only control with the predeclared nonnegative constraint.,context_prior,none,non_thz_control,none,0.0,none,False,True,False,True,False,False,0.27383430575805523,0.0,0.0,-0.07360913839278482,,control
thz_inversion,training_prior__pilot_power_residual__uniform__k16,0.34892745127537944,,Validation-only case selection; test THz gain over its prior control is 1.27120836e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,uniform,16.0,equal,False,False,True,False,False,False,0.3474661497242257,4.910538027314004e-06,1.271208358299969e-05,2.2705573385628508e-05,best_declared_training_prior,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__physics_d_optimal__k16,0.349065022818084,,Validation-only case selection; test THz gain over its prior control is 4.49319309e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,physics_d_optimal,16.0,equal,False,False,True,False,False,False,0.3474339298768798,-0.00013266100467723696,4.493193092885983e-05,-9.514273960231634e-06,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__prior_d_optimal__k16,0.3490527290493592,,Validation-only case selection; test THz gain over its prior control is 6.78787917e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,prior_d_optimal,16.0,equal,False,False,True,False,False,False,0.34741098301607604,-0.00012036723595243437,6.78787917326451e-05,-3.246113476401691e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal__k16,0.34900730127705293,,Validation-only case selection; test THz gain over its prior control is 7.32893159e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,bayesian_a_optimal,16.0,equal,False,False,True,False,False,False,0.3474055724919356,-7.49394636461731e-05,7.328931587308185e-05,-3.787165890445365e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__target_balanced__k16,0.3490690113729163,,Validation-only case selection; test THz gain over its prior control is 8.37166241e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,target_balanced,16.0,equal,False,False,True,False,False,False,0.3473951451836749,-0.0001366495595095385,8.371662413375613e-05,-4.829896716512794e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__uniform__k32,0.3490084078037515,,Validation-only case selection; test THz gain over its prior control is 2.15938312e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,uniform,32.0,equal,False,False,True,False,False,False,0.34745726797657683,-7.60459903447197e-05,2.159383123184755e-05,1.3823825736780648e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__physics_d_optimal__k32,0.3490411909864179,,Validation-only case selection; test THz gain over its prior control is 8.64796505e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,physics_d_optimal,32.0,equal,False,False,True,False,False,False,0.3473923821573091,-0.00010882917301113793,8.647965049957129e-05,-5.1061993530943095e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__prior_d_optimal__k32,0.34904093254292906,,Validation-only case selection; test THz gain over its prior control is 9.04887027e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,prior_d_optimal,32.0,equal,False,False,True,False,False,False,0.3473883731051102,-0.00010857072952230595,9.048870269845466e-05,-5.507104572982646e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal__k32,0.3489723226943399,,Validation-only case selection; test THz gain over its prior control is 7.45613232e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,bayesian_a_optimal,32.0,equal,False,False,True,False,False,False,0.34740430048456655,-3.99608809331653e-05,7.456132324212827e-05,-3.914366627350008e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__target_balanced__k32,0.3490057722325209,,Validation-only case selection; test THz gain over its prior control is 8.87239815e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,target_balanced,32.0,equal,False,False,True,False,False,False,0.3473901378263009,-7.341041911412827e-05,8.872398150777672e-05,-5.330632453914852e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__uniform__k64,0.34898875832428505,,Validation-only case selection; test THz gain over its prior control is 2.18261548e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,uniform,64.0,equal,False,False,True,False,False,False,0.3474570356530106,-5.639651087829822e-05,2.1826154798065822e-05,1.3591502170562375e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__physics_d_optimal__k64,0.3490152837712006,,Validation-only case selection; test THz gain over its prior control is 8.17685243e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,physics_d_optimal,64.0,equal,False,False,True,False,False,False,0.34739709328349355,-8.29219577938578e-05,8.176852431512893e-05,-4.6350867346500735e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__prior_d_optimal__k64,0.34897403703425683,,Validation-only case selection; test THz gain over its prior control is 6.45089555e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,prior_d_optimal,64.0,equal,False,False,True,False,False,False,0.34741435285228645,-4.167522085007924e-05,6.450895552223557e-05,-2.909129855360737e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal__k64,0.34897423676276856,,Validation-only case selection; test THz gain over its prior control is 5.40710139e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,bayesian_a_optimal,64.0,equal,False,False,True,False,False,False,0.34742479079386673,-4.187494936180869e-05,5.4071013941947577e-05,-1.865335697331938e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__target_balanced__k64,0.3489991052859028,,Validation-only case selection; test THz gain over its prior control is 8.54897703e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,target_balanced,64.0,equal,False,False,True,False,False,False,0.34739337203748394,-6.674347249602253e-05,8.548977032474259e-05,-5.007211335611439e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__uniform__k128,0.3489687073926098,,Validation-only case selection; test THz gain over its prior control is 5.72663003e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,uniform,128.0,equal,False,False,True,False,False,False,0.3474215955075058,-3.634557920306758e-05,5.7266300302893924e-05,-2.1848643334265727e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__physics_d_optimal__k128,0.3490031146109939,,Validation-only case selection; test THz gain over its prior control is 5.56159418e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,physics_d_optimal,128.0,equal,False,False,True,False,False,False,0.34742324586605006,-7.075279758717024e-05,5.561594175862439e-05,-2.019828478999619e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__prior_d_optimal__k128,0.34900275864969293,,Validation-only case selection; test THz gain over its prior control is 5.24259252e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,prior_d_optimal,128.0,equal,False,False,True,False,False,False,0.3474264358825799,-7.039683628617954e-05,5.242592522880507e-05,-1.7008268260176873e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal__k128,0.3490124256587925,,Validation-only case selection; test THz gain over its prior control is 5.58556569e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,bayesian_a_optimal,128.0,equal,False,False,True,False,False,False,0.3474230061509534,-8.006384538572497e-05,5.585565685528593e-05,-2.0437999886657732e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__target_balanced__k128,0.34900101453305615,,Validation-only case selection; test THz gain over its prior control is 6.70054556e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,target_balanced,128.0,equal,False,False,True,False,False,False,0.347411856352208,-6.865271964939801e-05,6.700545560067717e-05,-3.158779863204897e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__uniform__k256,0.3490090382867184,,Validation-only case selection; test THz gain over its prior control is 4.35341863e-05.,training_prior,pilot_power_residual,declared_reference_likelihood,uniform,256.0,equal,False,False,True,False,False,False,0.3474353276214875,-7.667647331166538e-05,4.3534186321192436e-05,-8.116529352564239e-06,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,0.3489723226943399,,Validation-only case selection; test THz gain over its prior control is 7.45613232e-05. The power optimizer found no accepted risk reduction and retained equal power. The weakly bounded optimizer may concentrate nearly all power on one tone and exploit training target correlations rather than spectrally resolve every target.,training_prior,pilot_power_residual,declared_reference_likelihood+correlation_concentrated_power_sensitivity,bayesian_a_optimal_power_unbounded,32.0,fallback_equal_power_unbounded,False,False,True,False,False,False,0.34740430048456655,-3.99608809331653e-05,7.456132324212827e-05,-3.914366627350008e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,0.3489723226943399,,Validation-only case selection; test THz gain over its prior control is 7.45613232e-05. The power optimizer found no accepted risk reduction and retained equal power.,training_prior,pilot_power_residual,declared_reference_likelihood,bayesian_a_optimal_power_bounded_4x,32.0,fallback_equal_power_bounded_4x,False,False,True,False,False,False,0.34740430048456655,-3.99608809331653e-05,7.456132324212827e-05,-3.914366627350008e-05,,thz_increment_improved
thz_inversion,training_prior__pilot_power_residual__full_offset_background_projected,0.3489774137828309,,Validation-only case selection; test THz gain over its prior control is 7.34525897e-05. Offset and background columns are projected out although the simulator injects neither nuisance.,training_prior,pilot_power_residual,declared_reference_likelihood,full_offset_background_projected,256.0,equal,True,False,True,False,False,False,0.3474054092181023,-4.5051969424170224e-05,7.34525897063687e-05,-3.80349327377405e-05,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__uniform__k16,0.3489240872224732,,Validation-only case selection; test THz gain over its prior control is 2.0441581e-05. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,uniform,16.0,equal,False,False,True,False,False,False,0.34745842022681517,8.274590933554649e-06,2.044158099351323e-05,1.4976075975114966e-05,best_training_prior_residual_retaining,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__physics_d_optimal__k16,0.3491124366826925,,Validation-only case selection; test THz gain over its prior control is 9.66653837e-05. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,physics_d_optimal,16.0,equal,False,False,True,False,False,False,0.34738219642412344,-0.00018007486928572902,9.666538368524602e-05,-6.124772671661782e-05,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__prior_d_optimal__k16,0.3490916542042188,,Validation-only case selection; test THz gain over its prior control is 0.000134272589. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,prior_d_optimal,16.0,equal,False,False,True,False,False,False,0.34734458921905964,-0.00015929239081202695,0.00013427258874904036,-9.885493178041216e-05,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__bayesian_a_optimal__k16,0.3490094113049948,,Validation-only case selection; test THz gain over its prior control is 0.000152374073. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,bayesian_a_optimal,16.0,equal,False,False,True,False,False,False,0.34732648773482094,-7.704949158804375e-05,0.00015237407298773764,-0.00011695641601910944,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__target_balanced__k16,0.3490940894674602,,Validation-only case selection; test THz gain over its prior control is 0.000186781861. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,target_balanced,16.0,equal,False,False,True,False,False,False,0.3472920799468606,-0.00016172765405342293,0.00018678186094805982,-0.00015136420397943162,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__uniform__k32,0.3490379007416718,,Validation-only case selection; test THz gain over its prior control is 4.86802185e-05. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,uniform,32.0,equal,False,False,True,False,False,False,0.3474301815892666,-0.00010553892826503652,4.8680218542096476e-05,-1.3262561573468279e-05,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__physics_d_optimal__k32,0.3490649606088254,,Validation-only case selection; test THz gain over its prior control is 0.000165382116. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,physics_d_optimal,32.0,equal,False,False,True,False,False,False,0.34731347969179027,-0.00013259879541865915,0.0001653821160184088,-0.0001299644590497806,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__prior_d_optimal__k32,0.34906199625645157,,Validation-only case selection; test THz gain over its prior control is 0.000176503291. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,prior_d_optimal,32.0,equal,False,False,True,False,False,False,0.34730235851672786,-0.00012963444304481264,0.00017650329108082063,-0.00014108563411219244,,thz_increment_improved
thz_inversion,training_prior__coherent_csi_residual__bayesian_a_optimal__k32,0.34894951457903334,,Validation-only case selection; test THz gain over its prior control is 0.000152735315. The coherent CSI delta-method likelihood is not receiver-validated.,training_prior,coherent_csi_residual,unvalidated_likelihood_sensitivity,bayesian_a_optimal,32.0,equal,False,False,True,False,False,False,0.3473261264927811,-1.715276562658241e-05,0.00015273531502757454,-0.00011731765805894634,,thz_increment_improved
